"","gene_symbol"
"1228","CITED1"
"1229","CITED2"
"1230","CITED4"
"1231","CCRN4L"
"1232","CNOT1"
"1233","CNOT2"
"1234","CNOT4"
"1235","CNOT6"
"1236","CNOT6L"
"1237","CNOT7"
"1238","CNOT8"
"1239","CD36"
"1240","CIZ1"
"1241","CDIP1"
"1242","CDC2B"
"1243","CDC6"
"1244","CCAR1"
"1245","CDCA7"
"1246","CGRRF1"
"1247","CREG1"
"1248","CRABP2"
"1249","CENPBD1"
"1250","CNTRL"
"1251","CENPB"
"1252","CENPF"
"1253","CENPK"
"1254","CENPT"
"1255","CERS2"
"1256","CERS3"
"1257","CERS4"
"1258","CERS5"
"1259","CERS6"
"1260","CDR2"
"1261","CDR2L"
"1262","CCT4"
"1263","CHMP3"
"1264","CHRAC1"
"1265","CHAF1A"
"1266","CBX1"
"1267","CBX2"
"1268","CBX3"
"1269","CBX4"
"1270","CBX5"
"1271","CBX6"
"1272","CBX7"
"1273","CBX8"
"1274","CHD1"
"1275","CHD1L"
"1276","CHD2"
"1277","CHD3"
"1278","CHD4"
"1279","CHD5"
"1280","CHD6"
"1281","CHD7"
"1282","CHD8"
"1283","CHD9"
"1284","C11ORF95"
"1285","C14ORF101"
"1286","C14ORF166"
"1287","C16ORF80"
"1288","C17ORF49"
"1289","C19ORF25"
"1290","C19ORF6"
"1291","C20ORF194"
"1292","C21ORF7"
"1293","C22ORF31"
"1294","C4ORF21"
"1295","CHAMP1"
"1296","CHURC1"
"1297","CIITA"
"1298","CPSF4"
"1299","CPSF4L"
"1300","CLASRP"
"1301","MYCBP"
"1302","CARM1"
"1303","COBRA1"
"1304","CCDC59"
"1305","CCDC71"
"1306","CCDC79"
"1307","CCDC85B"
"1308","CCDC88B"
"1309","COIL"
"1310","CSDC2"
"1311","CSDE1"
"1312","COPS2"
"1313","COPS3"
"1314","COPS4"
"1315","COPS5"
"1316","CBFB"
"1317","CBFA2T2"
"1318","CBFA2T3"
"1319","CIR1"
"1320","CORO1A"
"1321","CPXCR1"
"1322","CRTC1"
"1323","CRTC3"
"1324","CREBZF"
"1325","CRAMP1L"
"1326","CRXOS1"
"1327","CRY1"
"1328","CTDP1"
"1329","CTDSP1"
"1330","CTDSPL"
"1331","CTBP1"
"1332","CTR9"
"1333","CELF3"
"1334","CUL1"
"1335","CUL2"
"1336","CUL3"
"1337","CUL4A"
"1338","CUL4B"
"1339","CUL5"
"1340","CAND1"
"1341","CAND2"
"1342","CXXC1"
"1343","CCNA2"
"1344","CCNC"
"1345","CCNE1"
"1346","CCNH"
"1347","CCNT1"
"1348","CCNT2"
"1349","CDK2"
"1350","CDK5"
"1351","CDK7"
"1352","CDK8"
"1353","CDK9"
"1354","CDKN1A"
"1355","CDKN1B"
"1356","CDKN1C"
"1357","CDKN2A"
"1358","CSRP1"
"1359","CSRP2"
"1360","CSRP3"
"1361","CRIP1"
"1362","CRIP2"
"1363","CPHX"
"1364","CIAO1"
"1365","DPF2"
"1366","DDB1"
"1367","DDB2"
"1368","DAZAP2"
"1369","DZIP1"
"1370","DZIP1L"
"1371","DCP1A"
"1372","DDX5"
"1373","DDX20"
"1374","DDX3X"
"1375","DDX54"
"1376","DHX57"
"1377","DHX34"
"1378","DHX38"
"1379","DEDD"
"1380","DEDD2"
"1381","DAXX"
"1382","DEK"
"1383","DTX1"
"1384","DTX2"
"1385","DNTTIP2"
"1386","DUT"
"1387","DEPDC1"
"1388","DEPDC1B"
"1389","DEPDC4"
"1390","DEPDC5"
"1391","DEPDC7"
"1392","DEPTOR"
"1393","DSP"
"1394","DUS3L"
"1395","DIP2C"
"1396","DAB2"
"1397","DVL1"
"1398","DVL1L1"
"1399","DVL2"
"1400","DVL3"
