"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"NME3",7.40922228307445e-10,0.303804712715106,0.388,0.343,1.63966089124438e-05,"10-N_Glut","NME3"
"ATG4D",9.02896675488142e-10,0.285585133977069,0.323,0.272,1.99811034285526e-05,"10-N_Glut","ATG4D"
"ARMH4",9.30850352996221e-10,0.314868646872993,0.26,0.206,2.05997183118064e-05,"10-N_Glut","ARMH4"
"LRRC49",9.95022783038035e-10,0.322529076934609,0.312,0.257,2.20198541886317e-05,"10-N_Glut","LRRC49"
"ZNF48",1.00210194893294e-09,0.315497621646008,0.288,0.234,2.21765161298859e-05,"10-N_Glut","ZNF48"
"GNAI3",1.02386901981472e-09,0.273687307383891,0.483,0.455,2.26582214084999e-05,"10-N_Glut","GNAI3"
"PCGF3",1.07767362570156e-09,0.319757474003751,0.28,0.23,2.38489173367755e-05,"10-N_Glut","PCGF3"
"ATP9A",1.190611177855e-09,0.269849569858627,0.259,0.2,2.63482253659311e-05,"10-N_Glut","ATP9A"
"UBQLN2",1.33236294064904e-09,0.327505379787761,0.282,0.229,2.94851918765632e-05,"10-N_Glut","UBQLN2"
"ZFP14",1.42420816813373e-09,0.334668612919511,0.331,0.28,3.15177267607994e-05,"10-N_Glut","ZFP14"
"SEPHS2",1.52079867096901e-09,0.290844569893838,0.352,0.305,3.36552745885441e-05,"10-N_Glut","SEPHS2"
"ZNF195",1.68204557415223e-09,0.288003491607327,0.265,0.211,3.72236685559888e-05,"10-N_Glut","ZNF195"
"CASD11",1.70353859806245e-09,0.298996391460479,0.273,0.219,3.7699309175122e-05,"10-N_Glut","CASD1"
"FBXO11",1.78222402082499e-09,0.266757765295116,0.304,0.252,3.94406175808569e-05,"10-N_Glut","FBXO11"
"ZNF431",1.93653112691216e-09,0.267720597409738,0.26,0.205,4.28554338385661e-05,"10-N_Glut","ZNF431"
"PCAT6",1.9579747324691e-09,0.294902593157021,0.252,0.197,4.33299808295412e-05,"10-N_Glut","PCAT6"
"TRIM13",2.32832471150868e-09,0.312269265809562,0.331,0.283,5.1525825865687e-05,"10-N_Glut","TRIM13"
"ZMIZ1",2.52720566876228e-09,0.285368160715788,0.271,0.219,5.59270614497092e-05,"10-N_Glut","ZMIZ1"
"NRSN2",2.77249680770979e-09,0.275720235610624,0.271,0.216,6.13553543546176e-05,"10-N_Glut","NRSN2"
"RETREG2",2.96114392442176e-09,0.25499457527958,0.409,0.367,6.55301150474536e-05,"10-N_Glut","RETREG2"
"TCF121",3.39774001396266e-09,0.276958434796488,0.439,0.405,7.51919865089936e-05,"10-N_Glut","TCF12"
"NCBP3",3.76638500318065e-09,0.308682920754934,0.303,0.256,8.33501001203877e-05,"10-N_Glut","NCBP3"
"SNX6",3.89924769076953e-09,0.253452526465128,0.49,0.474,8.62903513967298e-05,"10-N_Glut","SNX6"
"ZNF793-AS1",4.00664071375678e-09,0.26597358685281,0.251,0.196,8.86669589954375e-05,"10-N_Glut","ZNF793-AS1"
"VPS26B",4.33847045739063e-09,0.312420801539292,0.3,0.25,9.60103512220547e-05,"10-N_Glut","VPS26B"
"DDA1",4.51193689810994e-09,0.260577843041088,0.46,0.433,9.98491635551731e-05,"10-N_Glut","DDA1"
"ANKRD17",4.64662721128058e-09,0.268433777606986,0.357,0.312,0.000102829860185639,"10-N_Glut","ANKRD17"
"RICTOR",4.80450388696348e-09,0.330714587280739,0.269,0.216,0.000106323671018502,"10-N_Glut","RICTOR"
"PPP2R5E",4.87409524475396e-09,0.284065266428595,0.485,0.468,0.000107863727766405,"10-N_Glut","PPP2R5E"
"PJA2",5.6499813740344e-09,0.252831951590209,0.404,0.355,0.000125034087807381,"10-N_Glut","PJA2"
"NUDT4",5.75806630526987e-09,0.325999613209943,0.331,0.284,0.000127426007335622,"10-N_Glut","NUDT4"
"DICER1",6.45831633516691e-09,0.264955046274061,0.413,0.38,0.000142922540497244,"10-N_Glut","DICER1"
"NFU1",6.47233841231766e-09,0.253345132163706,0.499,0.482,0.00014323284906459,"10-N_Glut","NFU1"
"BORCS8",7.06390205546027e-09,0.312075075721752,0.288,0.243,0.000156324152487336,"10-N_Glut","BORCS8"
"SKIDA1",8.22532713457437e-09,0.360156310204371,0.306,0.257,0.000182026489488131,"10-N_Glut","SKIDA1"
"RND2",8.95834051047935e-09,0.274543741942276,0.437,0.412,0.000198248075496908,"10-N_Glut","RND2"
